# BEARINGS

## FROM EA1/AV-009 - Pico Moros (2060 msnm) [10 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/SG-005	-171.05	8.63	Siete Picos 2137 m MHz	264.03 km  EA9ADD
EA1/SG-017	-169.14	10.45	Cabeza Líjar (1822 m) MHz	275.91 km  EA4IZ
EA1/SO-007	140.8	-38.46	Cabezo de Piqueras, 1930 m MHz	143.5 km  EA2BD
EA1/SO-009	138.28	-40.86	ALTO DEL HAYEDO, 1719 m. MHz	156.8 km  EA2DNO, EA2DCA
EA2/NV-021	92.66	-85.98	Saioa 1417m MHz	162.02 km  EA2FDI
EA2/VI-006	131.2	-48.27	TOLOÑO 1269 MHz	85.21 km  EA2CON
EA3/BC-004	101.77	-74.65	Gallina Pelada, 2320m MHz	445.57 km  EA3AJ
EA3/GI-011	99.57	-76.73	Tossa d’Alp - 2.536 m MHz	454.34 km  EA3IKB
EA3/GI-016	104.75	-71.25	Matagalls 1697m MHz	509.05 km  EA3HIG
EA3/LL-050	107.43	-69.65	Castell de Sant Alis 1675 m. MHz	374.1 km  EA3HQR, EA3IED
EA3/TA-036	113.96	-62.69	Roca Ferrana (789 m) MHz	456.3 km  EA3GRW
EA4/GU-002	178.43	-1.52	Cerrón 2.196 metros MHz	219.68 km  EA4HGT
EA4/GU-050	169.42	-10.26	Alto Rey MHz	221.99 km  EA4DE
EA4/MD-002	-172.8	6.94	Cabezas de Hierro 2227 Metros MHz	260.94 km  EA4GDK, EA4IKY
EA4/MD-007	-172.25	7.47	Maliciosa 2227 MHz	264.87 km  EA4HOD
EA4/MD-012	179.87	-0.13	Tres Provincias. 2127 metros. MHz	218.36 km  EA4GVU
EA4/MD-029	178.19	-1.76	Porrejon. 1823m MHz	231.24 km  EA4BVW
EA4/MD-056	-172.03	7.67	Cabeza Mediana - 1330m MHz	274.17 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	155.7	-22.66	Oliva, 1152 m MHz	531.78 km  EA5NU
EA5/AT-059	154.15	-24.04	Serra del Flare, 1044 m. MHz	553.33 km  EA5IYL

## FROM EA1/BU-030 - Muela (1375 msnm) [6 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-140.57	38.27	Pico Moros 2062m MHz	234.52 km  EA4HIH
EA1/BU-004	98.66	-81.04	Campiña 2049m MHz	37.7 km  EA2EUS
EA1/BU-016	-1.63	178.34	Picón Blanco (1.520 m) MHz	115.55 km  EA1FOV/p
EA1/BU-030	180.0	0.0	Muela 1375 MHz	0.0 km  EB1ESK
EA1/LE-023	-55.33	123.39	Agujas, 2143 m. MHz	187.9 km  EA1AER
EA1/LE-120	-64.69	113.79	Amargones - 1897m MHz	203.59 km  EA1FLU
EA1/SG-001	-164.57	15.13	Peñalara 2428m MHz	142.88 km  EA4IFC, EA4IIJ
EA1/SG-005	-162.97	16.68	Siete Picos 2137 m MHz	151.95 km  EA9ADD
EA1/SG-017	-160.39	19.18	Cabeza Líjar (1822 m) MHz	165.01 km  EA4IZ
EA1/SO-007	87.21	-92.08	Cabezo de Piqueras, 1930 m MHz	87.44 km  EA2BD
