# BEARINGS

## FROM EA1/AV-009 - Pico Moros (2060 msnm) [10 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA4/MD-007	-139.38	39.61	Maliciosa 2227 MHz	197.1 km  EA4HOD
EA4/MD-012	-139.18	40.1	Tres Provincias. 2127 metros. MHz	140.05 km  EA4GVU
EA4/MD-029	-144.46	34.87	Porrejon. 1823m MHz	146.04 km  EA4BVW
EA4/MD-056	-140.52	38.46	Cabeza Mediana - 1330m MHz	205.57 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	161.79	-17.29	Oliva, 1152 m MHz	394.83 km  EA5NU
EA5/AT-059	159.46	-19.46	Serra del Flare, 1044 m. MHz	415.03 km  EA5IYL

## FROM EA1/SO-009 - Alto del Hayedo (1719 msnm) [8 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-124.88	53.16	Pico Moros 2062m MHz	307.73 km  EA4HIH
EA1/BU-004	-92.84	86.64	Campiña 2049m MHz	63.85 km  EA2EUS
EA1/BU-016	-40.86	138.28	Picón Blanco (1.520 m) MHz	156.8 km  EA1FOV/p
EA1/BU-030	-88.27	90.91	Muela 1375 MHz	101.0 km  EB1ESK
EA1/LE-023	-66.17	111.72	Agujas, 2143 m. MHz	277.59 km  EA1AER
EA1/LE-120	-71.9	105.75	Amargones - 1897m MHz	298.5 km  EA1FLU
EA1/SG-001	-133.59	45.3	Peñalara 2428m MHz	194.56 km  EA4IFC, EA4IIJ
EA1/SG-005	-133.83	45.01	Siete Picos 2137 m MHz	204.48 km  EA9ADD
EA1/SG-017	-133.72	45.04	Cabeza Líjar (1822 m) MHz	219.35 km  EA4IZ
EA1/SO-007	-65.97	113.92	Cabezo de Piqueras, 1930 m MHz	14.85 km  EA2BD
EA1/SO-009	180.0	0.0	ALTO DEL HAYEDO, 1719 m. MHz	0.0 km  EA2DNO, EA2DCA
EA2/NV-021	28.56	-150.95	Saioa 1417m MHz	123.7 km  EA2FDI
EA2/VI-006	-32.58	147.09	TOLOÑO 1269 MHz	73.0 km  EA2CON
EA3/BC-004	86.37	-90.93	Gallina Pelada, 2320m MHz	332.86 km  EA3AJ
EA3/GI-011	83.99	-93.2	Tossa d’Alp - 2.536 m MHz	346.14 km  EA3IKB
EA3/GI-016	92.73	-84.15	Matagalls 1697m MHz	388.12 km  EA3HIG
EA3/LL-050	89.74	-88.22	Castell de Sant Alis 1675 m. MHz	252.61 km  EA3HQR, EA3IED
EA3/TA-036	103.19	-74.33	Roca Ferrana (789 m) MHz	319.98 km  EA3GRW
EA4/GU-002	-135.36	43.85	Cerrón 2.196 metros MHz	142.06 km  EA4HGT
EA4/GU-050	-147.01	32.47	Alto Rey MHz	119.47 km  EA4DE
EA4/MD-002	-135.15	43.76	Cabezas de Hierro 2227 Metros MHz	197.2 km  EA4GDK, EA4IKY
EA4/MD-007	-135.24	43.65	Maliciosa 2227 MHz	201.87 km  EA4HOD
EA4/MD-012	-133.45	45.72	Tres Provincias. 2127 metros. MHz	145.06 km  EA4GVU
EA4/MD-029	-138.78	40.44	Porrejon. 1823m MHz	149.74 km  EA4BVW
EA4/MD-056	-136.51	42.36	Cabeza Mediana - 1330m MHz	210.04 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	163.53	-15.65	Oliva, 1152 m MHz	385.03 km  EA5NU
EA5/AT-059	161.07	-17.96	Serra del Flare, 1044 m. MHz	404.77 km  EA5IYL

## FROM EA2/NV-021 - Saioa (1417 msnm) [6 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-131.91	45.62	Pico Moros 2062m MHz	422.01 km  EA4HIH
EA1/BU-004	-131.8	47.19	Campiña 2049m MHz	166.16 km  EA2EUS
EA1/BU-016	-85.98	92.66	Picón Blanco (1.520 m) MHz	162.02 km  EA1FOV/p
EA1/BU-030	-122.92	55.77	Muela 1375 MHz	191.78 km  EB1ESK
EA1/LE-023	-88.85	88.52	Agujas, 2143 m. MHz	313.06 km  EA1AER
EA1/LE-120	-92.15	84.99	Amargones - 1897m MHz	343.22 km  EA1FLU
EA1/SG-001	-140.02	38.38	Peñalara 2428m MHz	314.59 km  EA4IFC, EA4IIJ
EA1/SG-005	-139.96	38.39	Siete Picos 2137 m MHz	324.55 km  EA9ADD
EA1/SG-017	-139.6	38.67	Cabeza Líjar (1822 m) MHz	339.27 km  EA4IZ
EA1/SO-007	-144.19	35.21	Cabezo de Piqueras, 1930 m MHz	125.74 km  EA2BD
EA1/SO-009	-150.95	28.56	ALTO DEL HAYEDO, 1719 m. MHz	123.7 km  EA2DNO, EA2DCA
EA2/NV-021	180.0	0.0	Saioa 1417m MHz	0.0 km  EA2FDI
EA2/VI-006	-115.09	64.09	TOLOÑO 1269 MHz	109.14 km  EA2CON
EA3/BC-004	108.26	-69.51	Gallina Pelada, 2320m MHz	286.75 km  EA3AJ
EA3/GI-011	104.73	-72.93	Tossa d’Alp - 2.536 m MHz	294.15 km  EA3IKB
EA3/GI-016	111.62	-65.72	Matagalls 1697m MHz	352.25 km  EA3HIG
EA3/LL-050	119.53	-58.89	Castell de Sant Alis 1675 m. MHz	221.32 km  EA3HQR, EA3IED
EA3/TA-036	126.21	-51.77	Roca Ferrana (789 m) MHz	310.96 km  EA3GRW
EA4/GU-002	-142.35	36.37	Cerrón 2.196 metros MHz	263.16 km  EA4HGT
EA4/GU-050	-148.78	30.22	Alto Rey MHz	242.98 km  EA4DE
EA4/MD-002	-140.92	37.49	Cabezas de Hierro 2227 Metros MHz	317.83 km  EA4GDK, EA4IKY
EA4/MD-007	-140.89	37.5	Maliciosa 2227 MHz	322.5 km  EA4HOD
EA4/MD-012	-141.23	37.44	Tres Provincias. 2127 metros. MHz	265.47 km  EA4GVU
EA4/MD-029	-144.01	34.72	Porrejon. 1823m MHz	271.78 km  EA4BVW
EA4/MD-056	-141.54	36.84	Cabeza Mediana - 1330m MHz	331.09 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	174.5	-5.15	Oliva, 1152 m MHz	480.48 km  EA5NU
EA5/AT-059	172.12	-7.37	Serra del Flare, 1044 m. MHz	496.78 km  EA5IYL

## FROM EA2/VI-006 - Toloño (1269 msnm) [4 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-138.41	39.94	Pico Moros 2062m MHz	319.1 km  EA4HIH
EA1/BU-004	-159.61	20.2	Campiña 2049m MHz	69.15 km  EA2EUS
EA1/BU-016	-48.27	131.2	Picón Blanco (1.520 m) MHz	85.21 km  EA1FOV/p
EA1/BU-030	-133.81	45.69	Muela 1375 MHz	84.96 km  EB1ESK
EA1/LE-023	-77.04	101.17	Agujas, 2143 m. MHz	220.5 km  EA1AER
EA1/LE-120	-83.04	94.93	Amargones - 1897m MHz	246.4 km  EA1FLU
EA1/SG-001	-152.87	26.33	Peñalara 2428m MHz	220.46 km  EA4IFC, EA4IIJ
EA1/SG-005	-152.27	26.88	Siete Picos 2137 m MHz	230.14 km  EA9ADD
EA1/SG-017	-151.09	27.98	Cabeza Líjar (1822 m) MHz	244.19 km  EA4IZ
EA1/SO-007	154.77	-25.01	Cabezo de Piqueras, 1930 m MHz	61.15 km  EA2BD
EA1/SO-009	147.09	-32.58	ALTO DEL HAYEDO, 1719 m. MHz	73.0 km  EA2DNO, EA2DCA
EA2/NV-021	64.09	-115.09	Saioa 1417m MHz	109.14 km  EA2FDI
EA2/VI-006	180.0	0.0	TOLOÑO 1269 MHz	0.0 km  EA2CON
EA3/BC-004	95.88	-81.08	Gallina Pelada, 2320m MHz	373.7 km  EA3AJ
EA3/GI-011	93.44	-83.41	Tossa d’Alp - 2.536 m MHz	384.38 km  EA3IKB
EA3/GI-016	100.27	-76.27	Matagalls 1697m MHz	434.41 km  EA3HIG
EA3/LL-050	101.35	-76.27	Castell de Sant Alis 1675 m. MHz	298.09 km  EA3HQR, EA3IED
EA3/TA-036	110.65	-66.54	Roca Ferrana (789 m) MHz	375.75 km  EA3GRW
EA4/GU-002	-159.91	19.62	Cerrón 2.196 metros MHz	173.49 km  EA4HGT
EA4/GU-050	-171.28	8.52	Alto Rey MHz	163.76 km  EA4DE
EA4/MD-002	-153.95	25.27	Cabezas de Hierro 2227 Metros MHz	224.68 km  EA4GDK, EA4IKY
EA4/MD-007	-153.66	25.54	Maliciosa 2227 MHz	229.21 km  EA4HOD
EA4/MD-012	-158.06	21.42	Tres Provincias. 2127 metros. MHz	174.25 km  EA4GVU
EA4/MD-029	-161.49	18.04	Porrejon. 1823m MHz	183.98 km  EA4BVW
EA4/MD-056	-154.11	25.07	Cabeza Mediana - 1330m MHz	238.37 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	160.67	-18.2	Oliva, 1152 m MHz	455.61 km  EA5NU
EA5/AT-059	158.67	-20.03	Serra del Flare, 1044 m. MHz	476.02 km  EA5IYL

## FROM EA3/BC-004 - Gallina Pelada (2320 msnm) [8 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-105.95	69.43	Pico Moros 2062m MHz	616.94 km  EA4HIH
EA1/BU-004	-90.8	85.98	Campiña 2049m MHz	396.71 km  EA2EUS
EA1/BU-016	-74.65	101.77	Picón Blanco (1.520 m) MHz	445.57 km  EA1FOV/p
EA1/BU-030	-89.68	86.8	Muela 1375 MHz	433.52 km  EB1ESK
EA1/LE-023	-78.45	96.71	Agujas, 2143 m. MHz	593.14 km  EA1AER
EA1/LE-120	-80.65	94.28	Amargones - 1897m MHz	620.07 km  EA1FLU
EA1/SG-001	-105.48	70.75	Peñalara 2428m MHz	497.91 km  EA4IFC, EA4IIJ
EA1/SG-005	-106.05	70.13	Siete Picos 2137 m MHz	506.53 km  EA9ADD
EA1/SG-017	-106.7	69.39	Cabeza Líjar (1822 m) MHz	520.2 km  EA4IZ
EA1/SO-007	-89.79	87.4	Cabezo de Piqueras, 1930 m MHz	346.08 km  EA2BD
EA1/SO-009	-90.93	86.37	ALTO DEL HAYEDO, 1719 m. MHz	332.86 km  EA2DNO, EA2DCA
EA2/NV-021	-69.51	108.26	Saioa 1417m MHz	286.75 km  EA2FDI
EA2/VI-006	-81.08	95.88	TOLOÑO 1269 MHz	373.7 km  EA2CON
EA3/BC-004	180.0	0.0	Gallina Pelada, 2320m MHz	0.0 km  EA3AJ
EA3/GI-011	41.21	-138.68	Tossa d’Alp - 2.536 m MHz	19.34 km  EA3IKB
EA3/GI-016	128.15	-51.42	Matagalls 1697m MHz	68.11 km  EA3HIG
EA3/LL-050	-101.35	78.0	Castell de Sant Alis 1675 m. MHz	82.04 km  EA3HQR, EA3IED
EA3/TA-036	-164.93	14.88	Roca Ferrana (789 m) MHz	96.28 km  EA3GRW
EA4/GU-002	-103.1	73.43	Cerrón 2.196 metros MHz	448.95 km  EA4HGT
EA4/GU-050	-104.29	72.52	Alto Rey MHz	415.33 km  EA4DE
EA4/MD-002	-106.16	70.08	Cabezas de Hierro 2227 Metros MHz	497.97 km  EA4GDK, EA4IKY
EA4/MD-007	-106.43	69.79	Maliciosa 2227 MHz	502.02 km  EA4HOD
EA4/MD-012	-102.75	73.74	Tres Provincias. 2127 metros. MHz	453.88 km  EA4GVU
EA4/MD-029	-104.55	72.0	Porrejon. 1823m MHz	451.13 km  EA4BVW
EA4/MD-056	-107.31	68.9	Cabeza Mediana - 1330m MHz	507.31 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	-147.6	30.6	Oliva, 1152 m MHz	449.41 km  EA5NU
EA5/AT-059	-150.91	27.46	Serra del Flare, 1044 m. MHz	450.98 km  EA5IYL

## FROM EA3/GI-011 - Tossa D´alp (2536 msnm) [8 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-106.79	68.48	Pico Moros 2062m MHz	633.28 km  EA4HIH
EA1/BU-004	-92.71	83.97	Campiña 2049m MHz	409.91 km  EA2EUS
EA1/BU-016	-76.73	99.57	Picón Blanco (1.520 m) MHz	454.34 km  EA1FOV/p
EA1/BU-030	-91.45	84.92	Muela 1375 MHz	446.43 km  EB1ESK
EA1/LE-023	-79.94	95.11	Agujas, 2143 m. MHz	602.95 km  EA1AER
EA1/LE-120	-82.04	92.78	Amargones - 1897m MHz	630.5 km  EA1FLU
EA1/SG-001	-106.55	69.56	Peñalara 2428m MHz	514.19 km  EA4IFC, EA4IIJ
EA1/SG-005	-107.09	68.98	Siete Picos 2137 m MHz	522.9 km  EA9ADD
EA1/SG-017	-107.69	68.29	Cabeza Líjar (1822 m) MHz	536.69 km  EA4IZ
EA1/SO-007	-92.01	85.07	Cabezo de Piqueras, 1930 m MHz	359.07 km  EA2BD
EA1/SO-009	-93.2	83.99	ALTO DEL HAYEDO, 1719 m. MHz	346.14 km  EA2DNO, EA2DCA
EA2/NV-021	-72.93	104.73	Saioa 1417m MHz	294.15 km  EA2FDI
EA2/VI-006	-83.41	93.44	TOLOÑO 1269 MHz	384.38 km  EA2CON
EA3/BC-004	-138.68	41.21	Gallina Pelada, 2320m MHz	19.34 km  EA3AJ
EA3/GI-011	180.0	0.0	Tossa d’Alp - 2.536 m MHz	0.0 km  EA3IKB
EA3/GI-016	144.32	-35.36	Matagalls 1697m MHz	69.8 km  EA3HIG
EA3/LL-050	-108.13	71.11	Castell de Sant Alis 1675 m. MHz	98.11 km  EA3HQR, EA3IED
EA3/TA-036	-160.53	19.16	Roca Ferrana (789 m) MHz	113.96 km  EA3GRW
EA4/GU-002	-104.38	72.04	Cerrón 2.196 metros MHz	464.79 km  EA4HGT
EA4/GU-050	-105.64	71.06	Alto Rey MHz	431.41 km  EA4DE
EA4/MD-002	-107.22	68.92	Cabezas de Hierro 2227 Metros MHz	514.36 km  EA4GDK, EA4IKY
EA4/MD-007	-107.47	68.64	Maliciosa 2227 MHz	518.46 km  EA4HOD
EA4/MD-012	-104.03	72.35	Tres Provincias. 2127 metros. MHz	469.66 km  EA4GVU
EA4/MD-029	-105.78	70.66	Porrejon. 1823m MHz	467.25 km  EA4BVW
EA4/MD-056	-108.31	67.79	Cabeza Mediana - 1330m MHz	523.9 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	-147.13	30.97	Oliva, 1152 m MHz	468.54 km  EA5NU
EA5/AT-059	-150.31	27.95	Serra del Flare, 1044 m. MHz	469.91 km  EA5IYL

## FROM EA3/GI-016 - Matagalls (1697 msnm) [4 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-100.73	74.24	Pico Moros 2062m MHz	659.19 km  EA4HIH
EA1/BU-004	-84.94	91.42	Campiña 2049m MHz	451.71 km  EA2EUS
EA1/BU-016	-71.25	104.75	Picón Blanco (1.520 m) MHz	509.05 km  EA1FOV/p
EA1/BU-030	-84.36	91.7	Muela 1375 MHz	489.11 km  EB1ESK
EA1/LE-023	-75.36	99.38	Agujas, 2143 m. MHz	654.76 km  EA1AER
EA1/LE-120	-77.47	97.05	Amargones - 1897m MHz	680.55 km  EA1FLU
EA1/SG-001	-99.24	76.57	Peñalara 2428m MHz	541.09 km  EA4IFC, EA4IIJ
EA1/SG-005	-99.86	75.91	Siete Picos 2137 m MHz	549.15 km  EA9ADD
EA1/SG-017	-100.6	75.08	Cabeza Líjar (1822 m) MHz	562.18 km  EA4IZ
EA1/SO-007	-83.38	93.38	Cabezo de Piqueras, 1930 m MHz	401.99 km  EA2BD
EA1/SO-009	-84.15	92.73	ALTO DEL HAYEDO, 1719 m. MHz	388.12 km  EA2DNO, EA2DCA
EA2/NV-021	-65.72	111.62	Saioa 1417m MHz	352.25 km  EA2FDI
EA2/VI-006	-76.27	100.27	TOLOÑO 1269 MHz	434.41 km  EA2CON
EA3/BC-004	-51.42	128.15	Gallina Pelada, 2320m MHz	68.11 km  EA3AJ
EA3/GI-011	-35.36	144.32	Tossa d’Alp - 2.536 m MHz	69.8 km  EA3IKB
EA3/GI-016	180.0	0.0	Matagalls 1697m MHz	0.0 km  EA3HIG
EA3/LL-050	-78.62	100.3	Castell de Sant Alis 1675 m. MHz	136.49 km  EA3HQR, EA3IED
EA3/TA-036	-122.49	56.88	Roca Ferrana (789 m) MHz	93.64 km  EA3GRW
EA4/GU-002	-96.51	79.61	Cerrón 2.196 metros MHz	494.44 km  EA4HGT
EA4/GU-050	-97.13	79.27	Alto Rey MHz	460.03 km  EA4DE
EA4/MD-002	-99.87	75.96	Cabezas de Hierro 2227 Metros MHz	540.54 km  EA4GDK, EA4IKY
EA4/MD-007	-100.16	75.65	Maliciosa 2227 MHz	544.33 km  EA4HOD
EA4/MD-012	-96.26	79.82	Tres Provincias. 2127 metros. MHz	499.63 km  EA4GVU
EA4/MD-029	-97.85	78.28	Porrejon. 1823m MHz	495.37 km  EA4BVW
EA4/MD-056	-101.02	74.77	Cabeza Mediana - 1330m MHz	548.8 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	-138.48	39.32	Oliva, 1152 m MHz	447.74 km  EA5NU
EA5/AT-059	-141.81	36.15	Serra del Flare, 1044 m. MHz	445.36 km  EA5IYL

## FROM EA3/LL-050 - Castell de Sant Alis (1675 msnm) [4 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-107.3	68.72	Pico Moros 2062m MHz	535.2 km  EA4HIH
EA1/BU-004	-88.74	88.7	Campiña 2049m MHz	316.41 km  EA2EUS
EA1/BU-016	-69.65	107.43	Picón Blanco (1.520 m) MHz	374.1 km  EA1FOV/p
EA1/BU-030	-87.65	89.49	Muela 1375 MHz	353.57 km  EB1ESK
EA1/LE-023	-75.59	100.24	Agujas, 2143 m. MHz	518.55 km  EA1AER
EA1/LE-120	-78.26	97.34	Amargones - 1897m MHz	544.09 km  EA1FLU
EA1/SG-001	-106.94	69.93	Peñalara 2428m MHz	416.12 km  EA4IFC, EA4IIJ
EA1/SG-005	-107.6	69.22	Siete Picos 2137 m MHz	424.81 km  EA9ADD
EA1/SG-017	-108.35	68.39	Cabeza Líjar (1822 m) MHz	438.59 km  EA4IZ
EA1/SO-007	-86.9	90.94	Cabezo de Piqueras, 1930 m MHz	266.22 km  EA2BD
EA1/SO-009	-88.22	89.74	ALTO DEL HAYEDO, 1719 m. MHz	252.61 km  EA2DNO, EA2DCA
EA2/NV-021	-58.89	119.53	Saioa 1417m MHz	221.32 km  EA2FDI
EA2/VI-006	-76.27	101.35	TOLOÑO 1269 MHz	298.09 km  EA2CON
EA3/BC-004	78.0	-101.35	Gallina Pelada, 2320m MHz	82.04 km  EA3AJ
EA3/GI-011	71.11	-108.13	Tossa d’Alp - 2.536 m MHz	98.11 km  EA3IKB
EA3/GI-016	100.3	-78.62	Matagalls 1697m MHz	136.49 km  EA3HIG
EA3/LL-050	180.0	0.0	Castell de Sant Alis 1675 m. MHz	0.0 km  EA3HQR, EA3IED
EA3/TA-036	143.55	-36.0	Roca Ferrana (789 m) MHz	94.71 km  EA3GRW
EA4/GU-002	-104.14	73.04	Cerrón 2.196 metros MHz	366.95 km  EA4HGT
EA4/GU-050	-105.66	71.8	Alto Rey MHz	333.42 km  EA4DE
EA4/MD-002	-107.76	69.13	Cabezas de Hierro 2227 Metros MHz	416.27 km  EA4GDK, EA4IKY
EA4/MD-007	-108.07	68.8	Maliciosa 2227 MHz	420.36 km  EA4HOD
EA4/MD-012	-103.71	73.43	Tres Provincias. 2127 metros. MHz	371.86 km  EA4GVU
EA4/MD-029	-105.91	71.29	Porrejon. 1823m MHz	369.24 km  EA4BVW
EA4/MD-056	-109.1	67.75	Cabeza Mediana - 1330m MHz	425.8 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	-156.82	22.02	Oliva, 1152 m MHz	397.11 km  EA5NU
EA5/AT-059	-160.47	18.53	Serra del Flare, 1044 m. MHz	402.63 km  EA5IYL

## FROM EA3/TA-036 - Roca Ferrana (789 msnm) [2 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-97.9	77.72	Pico Moros 2062m MHz	573.27 km  EA4HIH
EA1/BU-004	-76.98	100.03	Campiña 2049m MHz	381.76 km  EA2EUS
EA1/BU-016	-62.69	113.96	Picón Blanco (1.520 m) MHz	456.3 km  EA1FOV/p
EA1/BU-030	-77.08	99.63	Muela 1375 MHz	419.45 km  EB1ESK
EA1/LE-023	-69.39	106.02	Agujas, 2143 m. MHz	595.01 km  EA1AER
EA1/LE-120	-71.96	103.21	Amargones - 1897m MHz	617.91 km  EA1FLU
EA1/SG-001	-95.23	81.22	Peñalara 2428m MHz	456.55 km  EA4IFC, EA4IIJ
EA1/SG-005	-96.04	80.37	Siete Picos 2137 m MHz	464.13 km  EA9ADD
EA1/SG-017	-97.03	79.29	Cabeza Líjar (1822 m) MHz	476.57 km  EA4IZ
EA1/SO-007	-73.85	103.56	Cabezo de Piqueras, 1930 m MHz	334.58 km  EA2BD
EA1/SO-009	-74.33	103.19	ALTO DEL HAYEDO, 1719 m. MHz	319.98 km  EA2DNO, EA2DCA
EA2/NV-021	-51.77	126.21	Saioa 1417m MHz	310.96 km  EA2FDI
EA2/VI-006	-66.54	110.65	TOLOÑO 1269 MHz	375.75 km  EA2CON
EA3/BC-004	14.88	-164.93	Gallina Pelada, 2320m MHz	96.28 km  EA3AJ
EA3/GI-011	19.16	-160.53	Tossa d’Alp - 2.536 m MHz	113.96 km  EA3IKB
EA3/GI-016	56.88	-122.49	Matagalls 1697m MHz	93.64 km  EA3HIG
EA3/LL-050	-36.0	143.55	Castell de Sant Alis 1675 m. MHz	94.71 km  EA3HQR, EA3IED
EA3/TA-036	180.0	0.0	Roca Ferrana (789 m) MHz	0.0 km  EA3GRW
EA4/GU-002	-91.44	85.32	Cerrón 2.196 metros MHz	412.3 km  EA4HGT
EA4/GU-050	-91.66	85.37	Alto Rey MHz	377.55 km  EA4DE
EA4/MD-002	-95.97	80.5	Cabezas de Hierro 2227 Metros MHz	455.52 km  EA4GDK, EA4IKY
EA4/MD-007	-96.35	80.1	Maliciosa 2227 MHz	459.09 km  EA4HOD
EA4/MD-012	-91.21	85.51	Tres Provincias. 2127 metros. MHz	417.69 km  EA4GVU
EA4/MD-029	-93.05	83.72	Porrejon. 1823m MHz	412.11 km  EA4BVW
EA4/MD-056	-97.41	79.02	Cabeza Mediana - 1330m MHz	462.93 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	-143.22	35.19	Oliva, 1152 m MHz	358.65 km  EA5NU
EA5/AT-059	-147.38	31.19	Serra del Flare, 1044 m. MHz	358.33 km  EA5IYL

## FROM EA4/GU-002 - Cerrón (2196 msnm) [10 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-116.94	61.9	Pico Moros 2062m MHz	170.01 km  EA4HIH
EA1/BU-004	19.42	-160.3	Campiña 2049m MHz	104.34 km  EA2EUS
EA1/BU-016	-1.52	178.43	Picón Blanco (1.520 m) MHz	219.68 km  EA1FOV/p
EA1/BU-030	-1.42	178.56	Muela 1375 MHz	104.13 km  EB1ESK
EA1/LE-023	-36.66	142.05	Agujas, 2143 m. MHz	263.07 km  EA1AER
EA1/LE-120	-44.31	134.17	Amargones - 1897m MHz	267.15 km  EA1FLU
EA1/SG-001	-129.61	50.08	Peñalara 2428m MHz	52.74 km  EA4IFC, EA4IIJ
EA1/SG-005	-131.15	48.49	Siete Picos 2137 m MHz	62.59 km  EA9ADD
EA1/SG-017	-131.5	48.05	Cabeza Líjar (1822 m) MHz	77.46 km  EA4IZ
EA1/SO-007	38.05	-141.27	Cabezo de Piqueras, 1930 m MHz	137.54 km  EA2BD
EA1/SO-009	43.85	-135.36	ALTO DEL HAYEDO, 1719 m. MHz	142.06 km  EA2DNO, EA2DCA
EA2/NV-021	36.37	-142.35	Saioa 1417m MHz	263.16 km  EA2FDI
EA2/VI-006	19.62	-159.91	TOLOÑO 1269 MHz	173.49 km  EA2CON
EA3/BC-004	73.43	-103.1	Gallina Pelada, 2320m MHz	448.95 km  EA3AJ
EA3/GI-011	72.04	-104.38	Tossa d’Alp - 2.536 m MHz	464.79 km  EA3IKB
EA3/GI-016	79.61	-96.51	Matagalls 1697m MHz	494.44 km  EA3HIG
EA3/LL-050	73.04	-104.14	Castell de Sant Alis 1675 m. MHz	366.95 km  EA3HQR, EA3IED
EA3/TA-036	85.32	-91.44	Roca Ferrana (789 m) MHz	412.3 km  EA3GRW
EA4/GU-002	180.0	0.0	Cerrón 2.196 metros MHz	0.0 km  EA4HGT
EA4/GU-050	87.78	-91.95	Alto Rey MHz	34.79 km  EA4DE
EA4/MD-002	-135.39	44.31	Cabezas de Hierro 2227 Metros MHz	55.14 km  EA4GDK, EA4IKY
EA4/MD-007	-135.73	43.95	Maliciosa 2227 MHz	59.81 km  EA4HOD
EA4/MD-012	-77.25	102.71	Tres Provincias. 2127 metros. MHz	5.64 km  EA4GVU
EA4/MD-029	173.55	-6.44	Porrejon. 1823m MHz	11.6 km  EA4BVW
EA4/MD-056	-139.69	39.97	Cabeza Mediana - 1330m MHz	68.06 km  EA4HNZ, EA4RCW, EA4HLP
EA5/AB-015	141.31	-37.12	Oliva, 1152 m MHz	339.92 km  EA5NU
EA5/AT-059	139.87	-38.4	Serra del Flare, 1044 m. MHz	364.43 km  EA5IYL

## FROM EA4/GU-050 - Ermita de Alto Rey (1851 msnm) [8 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	-112.54	66.02	Pico Moros 2062m MHz	202.14 km  EA4HIH
EA1/BU-004	0.23	-179.76	Campiña 2049m MHz	97.05 km  EA2EUS
EA1/BU-016	-10.26	169.42	Picón Blanco (1.520 m) MHz	221.99 km  EA1FOV/p
EA1/BU-030	-19.69	160.01	Muela 1375 MHz	109.32 km  EB1ESK
EA1/LE-023	-42.18	136.25	Agujas, 2143 m. MHz	284.19 km  EA1AER
EA1/LE-120	-49.11	129.08	Amargones - 1897m MHz	291.61 km  EA1FLU
EA1/SG-001	-114.61	64.8	Peñalara 2428m MHz	83.11 km  EA4IFC, EA4IIJ
EA1/SG-005	-117.17	62.19	Siete Picos 2137 m MHz	92.27 km  EA9ADD
EA1/SG-017	-119.32	59.96	Cabeza Líjar (1822 m) MHz	106.68 km  EA4IZ
EA1/SO-007	25.33	-154.26	Cabezo de Piqueras, 1930 m MHz	118.07 km  EA2BD
EA1/SO-009	32.47	-147.01	ALTO DEL HAYEDO, 1719 m. MHz	119.47 km  EA2DNO, EA2DCA
EA2/NV-021	30.22	-148.78	Saioa 1417m MHz	242.98 km  EA2FDI
EA2/VI-006	8.52	-171.28	TOLOÑO 1269 MHz	163.76 km  EA2CON
EA3/BC-004	72.52	-104.29	Gallina Pelada, 2320m MHz	415.33 km  EA3AJ
EA3/GI-011	71.06	-105.64	Tossa d’Alp - 2.536 m MHz	431.41 km  EA3IKB
EA3/GI-016	79.27	-97.13	Matagalls 1697m MHz	460.03 km  EA3HIG
EA3/LL-050	71.8	-105.66	Castell de Sant Alis 1675 m. MHz	333.42 km  EA3HQR, EA3IED
EA3/TA-036	85.37	-91.66	Roca Ferrana (789 m) MHz	377.55 km  EA3GRW
EA4/GU-002	-91.95	87.78	Cerrón 2.196 metros MHz	34.79 km  EA4HGT
EA4/GU-050	180.0	0.0	Alto Rey MHz	0.0 km  EA4DE
