;MONTE;CALL
CT Portugal;Larouco, 1537 m.;CT2HOV/P
CT Portugal;Larouco, 1537 m.;CR7BJF/P
CT Portugal;Larouco, 1537 m.;CT2HBL/P
EA1/LE Leon;Huevo del Faro, 2155 m. No definitivo;EA1AER/P
EA1/PL Palencia;Cuchillon;EA1FOV/p
EA1/BU Burgos;La Muela , 1375 m.;EB1ESK
EA2/BI Bizcaia;Saibi, 953 m.;EB1CU/P
EA2/BI Bizcaia;Saibi, 953 m.;EA2EYD
EA2/SS Gipuzkoa;Andutz, 612 m.;EB2FDT/P
EA2/NV Navarra;Ori, 2019 m.;EA2EUS
EA2/NV Navarra;Lapoblazion, 1244 m.;EA2CSC
EA2/NV Navarra;Erreniega, 1035 m.;EA2BD/P
EA2/NV Navarra;Saioa 1417 m;EA2FDI
EA1/LR La Rioja;San Lorenzo,  2271 m.;EA2DCA/P
EA2/TE Teruel;Peñarroya, 2018 m.;EA3GNU/P
EA3/BC Barcelona;L'osca 615 m.;EA3GRW
EA3/GI Girona;Tossa D'Alp, 2536 m.;EA3IKB
EA3/GI Girona;La Creueta, 2066 m.;EA3HQR/P
EA1/ZA Zamora;Teso Santo, 979 m.;EA7RX
EA1/AV Avila;Torozo, 2021 m.;EA4HCF
EA1/AV Avila;Torozo, 2021 m.;EA4HIH
EA1/GU Guadalajara;Pico Lobo, 2272 m.;EA4DON
EA1/GU Guadalajara;Pico Lobo, 2272 m.;EA4DOS
EA1/SG Segovia;Peñalara, 2428 m.;EA1ZJ
EA1/SG Segovia;Peñalara, 2428 m.;EA7808URE
EA1/SG Segovia;Pico del Nevero, 2209 m.;EA3IFL
EA1/SG Segovia;Siete Picos, 2137 m.;EA9ADD
EA1/SG Segovia;Cabeza Líjar. 1822 m.;EA4GVU
EA1/SG Segovia;La Peñota, 1944 m.;EA4BVW 
EA4/MD Madrid;;EA4HFO
EA4/MD Madrid;;EA4IDL
Pendiente;;EA4IZ
Pendiente;;EA4IS
EA5/AB Albacete;Gallinero, 1629 m.;EA5PY
EA5/AT Alicante;Serra del Flare, 1044 m.;EA5IYL
EA7/GR Granada;Veleta;EA7KHJ
EA7/GR Granada;Veleta;EA7KUG
EA7/GR Granada;Ruero, 2063 m.;EC7ZT
ACTIVADOR;CIMA
CT2HOV/P;CT/TM-049
CR7BJF/P;CT/TM-049
CT2HBL/P;CT/TM-049
EA1AER/P;EA1/LE-025
EA1FOV/p;EA1/PL-006
EB1ESK;EA1/BU-030
EB1CU/P;EA2/BI-014
EA2EYD;EA2/BI-014
EB2FDT/P;EA2/SS-041
EA2EUS;EA2/NV-003
EA2CSC;EA2/NV-050
EA2BD/P;EA2/NV-092
EA2FDI;EA2/NV-021
EA2DCA/P;EA1/LR-001 
EA3GNU/P;EA2/TE-001
EA3GRW;BC-075
EA3IKB;EA3/GI-011
EA3HQR/P;EA3/GI-040
EA7RX;EA1/ZA-013
EA4HCF;EA1/AV-010
EA4HIH;EA1/AV-010
EA4DON;GU-001
EA4DOS;GU-001
EA1ZJ;EA1/SG-001
EA7808URE;EA1/SG-001
EA3IFL;EA1/SG-003
EA9ADD;SG-005
EA4GVU;SG-017
EA4BVW ;SG-019
EA4HFO;
EA4IDL;
EA4IZ;
EA4IS;
EA5PY;EA5/AB-014
EA5IYL;EA5/AT-059
EA7KHJ;GR-002
EA7KUG;GR-002
EC7ZT;EA7/GR-043
