# BEARINGS

## FROM EA1/AT-186 - Los Gayos de la Cuerva (844 msnm) [4 pts] grid: IN63uk
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA3/BC-006	89.87	-86.76	145.350,144.350 MHz	414.39 km  EA3GRW
EA3/GI-014	87.72	-88.62	144.780 MHz	449.37 km  EA3O
EA3/LL-041	89.44	-87.36	144.775 MHz	392.89 km  EA3JHJ
EA3/LL-050	92.67	-84.65	144.700 MHz	331.76 km  EA3HIG
EA3/LL-051	92.77	-84.42	145.250 MHz	346.11 km  EA3IXK
EA3/TA-012	117.05	-60.57	144.680 MHz	339.24 km  EA3HQR EA3IQK
EA4/GU-002	-170.72	9.13	145.550,144.550 MHz	123.22 km  EA4HGT
EA4/GU-014	-173.4	6.49	145.400 MHz	115.5 km  EA4HIH
EA4/GU-050	172.95	-6.94	144.740 MHz	121.27 km  EA4AWF
EA4/GU-062	150.63	-28.75	144.720 MHz	161.64 km  EA4WT
EA4/MD-002	-159.94	19.6	145.525,144.525 MHz	171.14 km  EA4NB
EA4/MD-025	-172.24	7.6	145.225 MHz	151.6 km  EA4IIJ EA4GGU
EA4/MD-052	-158.95	20.53	144.520 MHz	183.62 km  EA4HNZ
EA4/MD-054	-166.14	13.56	144.560 MHz	155.78 km  EA4GUO
EA5/AT-010	150.08	-28.17	144.640 MHz	471.66 km  EA5ITW
EA5/AT-017	144.82	-33.11	144.620 MHz	480.93 km  EA5JTS
EA5/AT-020	145.12	-32.88	144.660 MHz	469.69 km  EA5JYX
EA5/MU-021	160.68	-18.14	144.780 MHz	482.26 km  EA5PY
EA6/MA-077	113.65	-62.17	145.225,144.225 MHz	592.63 km  EA6EE EA6APL EA6LU
EA7/GR-002	-178.86	1.05	145.250,144.250 MHz	576.67 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	-174.71	4.95	145.350,144.350 MHz	514.88 km  EA7OM EA7JV
EA7/MA-013	-168.75	10.41	145.475 MHz	597.6 km  EC7ZT

## FROM EA1/BU-004 - Campiña (2049 msnm) [10 pts] grid: IN82la
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-59.18	118.59	144.575 MHz	308.77 km  EA1FNT
EA1/BU-002	-32.8	147.08	145.475 MHz	27.76 km  EB2FDT
EA1/BU-004	180.0	0.0	145.425 MHz	0.0 km  EB1ESK
EA1/BU-007	-52.42	127.4	145.325 MHz	26.81 km  EA1FWZ
EA1/BU-096	24.51	-155.18	144.620 MHz	89.2 km  EA2CON
EA1/CT-036	-47.87	131.02	144.560 MHz	180.5 km  EA2FHK
EA1/LR-004	17.37	-162.58	Cumbre en duda MHz	20.03 km  EA4IS
EA1/OU-001	-84.57	92.92	145.225,144.225 MHz	310.06 km  EA1FTW
EA1/PO-022	-82.12	94.09	145.350 MHz	467.65 km  EA1FMJ
EA1/SG-001	-150.01	29.39	145.300 MHz	152.0 km  EA4DON EA4DOS
EA1/SG-003	-150.4	29.07	144.540 MHz	134.92 km  EA4IPO
EA1/SG-005	-149.34	30.01	145.275,144.275 MHz	161.8 km  EA9ADD
EA1/SG-010	-146.27	33.01	145.325,144 MHz	165.91 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-147.96	31.31	144.660 MHz	176.1 km  EA4HFO EA4GVU
EA1/SO-003	105.2	-74.0	145.500 MHz	102.97 km  EA2ETB
EA1/SO-026	154.88	-24.74	144.640 MHz	112.77 km  EA7RX
EA1/ZA-002	-85.39	92.3	145.250,144.250 MHz	285.91 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	15.92	-163.77	144.700 MHz	137.41 km  EA2DCA
EA2/HU-093	80.14	-97.52	144.760 MHz	290.99 km  EA4BQG
EA2/NV-003	57.28	-121.33	145.400 MHz	198.64 km  EA2EUS
EA2/NV-032	41.1	-138.16	144.680 MHz	135.42 km  EA2BD
EA2/NV-035	46.81	-132.09	144.720 MHz	182.39 km  EA2FDI
EA2/NV-148	53.57	-125.67	144.575 MHz	115.7 km  EA2CCG
EA2/VI-016	18.14	-161.54	144.580 MHz	121.41 km  EA2DXY
EA2/ZG-001	105.1	-74.09	145.450 MHz	104.64 km  EA2FED EA2FEG
EA3/BC-006	86.66	-90.1	145.350,144.350 MHz	400.04 km  EA3GRW
EA3/GI-014	84.7	-91.76	144.780 MHz	435.87 km  EA3O
EA3/LL-041	86.02	-90.91	144.775 MHz	378.76 km  EA3JHJ
EA3/LL-050	88.7	-88.74	144.700 MHz	316.41 km  EA3HIG
EA3/LL-051	88.99	-88.34	145.250 MHz	330.68 km  EA3IXK
EA3/TA-012	114.65	-63.1	144.680 MHz	315.51 km  EA3HQR EA3IQK
