# BEARINGS

## FROM EA1/AT-186 - Los Gayos de la Cuerva (844 msnm) [4 pts] grid: IN63uk
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA2/NV-148	60.39	-118.89	144.575 MHz	100.24 km  EA2CCG
EA2/VI-016	18.35	-161.39	144.580 MHz	101.38 km  EA2DXY
EA2/ZG-001	116.05	-63.18	145.450 MHz	105.76 km  EA2FED EA2FEG
EA3/BC-006	89.43	-87.37	145.350,144.350 MHz	393.4 km  EA3GRW
EA3/GI-014	87.22	-89.29	144.780 MHz	428.55 km  EA3O
EA3/LL-041	88.94	-88.04	144.775 MHz	371.94 km  EA3JHJ
EA3/LL-050	92.25	-85.23	144.700 MHz	310.58 km  EA3HIG
EA3/LL-051	92.39	-84.98	145.250 MHz	324.92 km  EA3IXK
EA3/TA-012	118.27	-59.52	144.680 MHz	318.67 km  EA3HQR EA3IQK
EA4/GU-002	-160.63	19.05	145.550,144.550 MHz	124.35 km  EA4HGT
EA4/GU-014	-162.6	17.13	145.400 MHz	115.76 km  EA4HIH
EA4/GU-050	-176.81	3.14	144.740 MHz	116.34 km  EA4AWF
EA4/GU-062	157.09	-22.46	144.720 MHz	148.58 km  EA4WT
EA4/MD-002	-152.84	26.53	145.525,144.525 MHz	175.71 km  EA4NB
EA4/MD-025	-163.97	15.7	145.225 MHz	151.82 km  EA4IIJ EA4GGU
EA4/MD-052	-152.35	26.96	144.520 MHz	188.47 km  EA4HNZ
EA4/MD-054	-158.19	21.34	144.560 MHz	158.22 km  EA4GUO
EA5/AT-010	152.27	-26.15	144.640 MHz	457.84 km  EA5ITW
EA5/AT-017	146.81	-31.29	144.620 MHz	465.64 km  EA5JTS
EA5/AT-020	147.16	-31.0	144.660 MHz	454.48 km  EA5JYX
EA5/MU-021	163.09	-15.9	144.780 MHz	471.73 km  EA5PY
EA6/MA-077	114.28	-61.71	145.225,144.225 MHz	571.71 km  EA6EE EA6APL EA6LU
EA7/GR-002	-176.59	3.17	145.250,144.250 MHz	573.3 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	-172.16	7.33	145.350,144.350 MHz	513.1 km  EA7OM EA7JV
EA7/MA-013	-166.54	12.47	145.475 MHz	597.99 km  EC7ZT

## FROM EA1/OU-001 - Peña Trevinca (2125 msnm) [10 pts] grid: IN62of
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	16.13	-163.56	144.575 MHz	135.93 km  EA1FNT
EA1/BU-002	88.66	-88.95	145.475 MHz	293.69 km  EB2FDT
EA1/BU-004	92.92	-84.57	145.425 MHz	310.06 km  EB1ESK
EA1/BU-007	90.08	-87.58	145.325 MHz	287.71 km  EA1FWZ
EA1/BU-096	78.96	-98.21	144.620 MHz	349.53 km  EA2CON
EA1/CT-036	59.79	-118.79	144.560 MHz	197.39 km  EA2FHK
EA1/LR-004	89.35	-88.09	Cumbre en duda MHz	314.81 km  EA4IS
EA1/OU-001	180.0	0.0	145.225,144.225 MHz	0.0 km  EA1FTW
EA1/PO-022	-79.84	98.88	145.350 MHz	158.43 km  EA1FMJ
EA1/SG-001	122.18	-55.94	145.300 MHz	282.94 km  EA4DON EA4DOS
EA1/SG-003	118.71	-59.33	144.540 MHz	282.97 km  EA4IPO
EA1/SG-005	124.19	-53.98	145.275,144.275 MHz	282.02 km  EA9ADD
EA1/SG-010	125.2	-53.05	145.325,144 MHz	273.62 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	127.19	-51.06	144.660 MHz	279.67 km  EA4HFO EA4GVU
EA1/SO-003	95.35	-81.34	145.500 MHz	411.9 km  EA2ETB
EA1/SO-026	107.74	-69.4	144.640 MHz	379.99 km  EA7RX
EA1/ZA-002	102.48	-77.32	145.250,144.250 MHz	24.52 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	70.95	-106.2	144.700 MHz	361.26 km  EA2DCA
EA2/HU-093	85.51	-89.62	144.760 MHz	595.71 km  EA4BQG
EA2/NV-003	78.16	-97.91	145.400 MHz	482.13 km  EA2EUS
EA2/NV-032	77.12	-99.61	144.680 MHz	404.27 km  EA2BD
EA2/NV-035	75.28	-101.08	144.720 MHz	451.83 km  EA2FDI
EA2/NV-148	81.89	-94.82	144.575 MHz	403.67 km  EA2CCG
EA2/VI-016	73.54	-103.61	144.580 MHz	356.98 km  EA2DXY
EA2/ZG-001	95.36	-81.32	145.450 MHz	413.59 km  EA2FED EA2FEG
EA3/BC-006	87.97	-86.27	145.350,144.350 MHz	708.04 km  EA3GRW
EA3/GI-014	86.64	-87.3	144.780 MHz	742.76 km  EA3O
EA3/LL-041	87.74	-86.67	144.775 MHz	686.52 km  EA3JHJ
EA3/LL-050	89.52	-85.4	144.700 MHz	625.39 km  EA3HIG
EA3/LL-051	89.59	-85.21	145.250 MHz	639.73 km  EA3IXK
EA3/TA-012	102.63	-72.64	144.680 MHz	616.79 km  EA3HQR EA3IQK
EA4/GU-002	112.5	-65.29	145.550,144.550 MHz	301.77 km  EA4HGT
EA4/GU-014	110.81	-66.93	145.400 MHz	305.02 km  EA4HIH
EA4/GU-050	109.79	-67.72	144.740 MHz	333.16 km  EA4AWF
EA4/GU-062	109.03	-67.98	144.720 MHz	400.56 km  EA4WT
EA4/MD-002	122.89	-55.21	145.525,144.525 MHz	287.72 km  EA4NB
EA4/MD-025	117.29	-60.51	145.225 MHz	314.35 km  EA4IIJ EA4GGU
EA4/MD-052	125.45	-52.71	144.520 MHz	288.23 km  EA4HNZ
EA4/MD-054	119.05	-58.88	144.560 MHz	300.38 km  EA4GUO
EA5/AT-010	125.72	-50.22	144.640 MHz	671.7 km  EA5ITW
EA5/AT-017	122.57	-53.05	144.620 MHz	696.0 km  EA5JTS
EA5/AT-020	122.44	-53.24	144.660 MHz	684.6 km  EA5JYX
EA5/MU-021	133.12	-43.41	144.780 MHz	645.98 km  EA5PY
EA6/MA-077	103.84	-69.64	145.225,144.225 MHz	871.1 km  EA6EE EA6APL EA6LU
EA7/GR-002	151.81	-26.0	145.250,144.250 MHz	646.59 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	152.26	-25.8	145.350,144.350 MHz	573.41 km  EA7OM EA7JV
EA7/MA-013	161.01	-17.55	145.475 MHz	617.28 km  EC7ZT

## FROM EA1/PO-022 - Alto de Castrove (609 msnm) [2 pts] grid: IN52pl
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	60.8	-117.59	144.575 MHz	219.21 km  EA1FNT
EA1/BU-002	91.4	-84.92	145.475 MHz	450.05 km  EB2FDT
EA1/BU-004	94.09	-82.12	145.425 MHz	467.65 km  EB1ESK
EA1/BU-007	92.37	-84.0	145.325 MHz	444.56 km  EA1FWZ
EA1/BU-096	84.25	-91.63	144.620 MHz	500.52 km  EA2CON
EA1/CT-036	76.39	-100.9	144.560 MHz	334.24 km  EA2FHK
EA1/LR-004	91.68	-84.47	Cumbre en duda MHz	471.37 km  EA4IS
EA1/OU-001	98.88	-79.84	145.225,144.225 MHz	158.43 km  EA1FTW
EA1/PO-022	180.0	0.0	145.350 MHz	0.0 km  EA1FMJ
EA1/SG-001	113.04	-63.81	145.300 MHz	433.89 km  EA4DON EA4DOS
EA1/SG-003	110.8	-65.97	144.540 MHz	436.09 km  EA4IPO
EA1/SG-005	114.32	-62.58	145.275,144.275 MHz	431.57 km  EA9ADD
EA1/SG-010	114.79	-62.18	145.325,144 MHz	422.51 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	116.21	-60.78	144.660 MHz	426.9 km  EA4HFO EA4GVU
EA1/SO-003	95.41	-80.0	145.500 MHz	569.93 km  EA2ETB
EA1/SO-026	104.23	-71.63	144.640 MHz	537.44 km  EA7RX
EA1/ZA-002	99.19	-79.33	145.250,144.250 MHz	182.93 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	78.46	-97.39	144.700 MHz	505.48 km  EA2DCA
EA2/HU-093	87.28	-86.55	144.760 MHz	750.05 km  EA4BQG
EA2/NV-003	82.26	-92.52	145.400 MHz	631.81 km  EA2EUS
EA2/NV-032	82.26	-93.17	144.680 MHz	553.54 km  EA2BD
EA2/NV-035	80.37	-94.68	144.720 MHz	599.27 km  EA2FDI
EA2/NV-148	85.72	-89.69	144.575 MHz	556.33 km  EA2CCG
EA2/VI-016	80.35	-95.5	144.580 MHz	503.63 km  EA2DXY
EA2/ZG-001	95.41	-79.99	145.450 MHz	571.61 km  EA2FED EA2FEG
EA3/BC-006	88.9	-84.04	145.350,144.350 MHz	863.55 km  EA3GRW
EA3/GI-014	87.72	-84.92	144.780 MHz	897.56 km  EA3O
EA3/LL-041	88.77	-84.34	144.775 MHz	841.93 km  EA3JHJ
EA3/LL-050	90.38	-83.25	144.700 MHz	781.64 km  EA3HIG
EA3/LL-051	90.4	-83.12	145.250 MHz	796.0 km  EA3IXK
EA3/TA-012	100.85	-73.14	144.680 MHz	775.1 km  EA3HQR EA3IQK
EA4/GU-002	106.99	-69.53	145.550,144.550 MHz	457.8 km  EA4HGT
EA4/GU-014	105.9	-70.56	145.400 MHz	461.65 km  EA4HIH
EA4/GU-050	105.42	-70.82	144.740 MHz	490.07 km  EA4AWF
EA4/GU-062	105.25	-70.49	144.720 MHz	557.63 km  EA4WT
EA4/MD-002	113.59	-63.25	145.525,144.525 MHz	438.14 km  EA4NB
EA4/MD-025	110.3	-66.24	145.225 MHz	468.09 km  EA4IIJ EA4GGU
EA4/MD-052	115.26	-61.63	144.520 MHz	436.75 km  EA4HNZ
EA4/MD-054	111.28	-65.39	144.560 MHz	453.19 km  EA4GUO
EA5/AT-010	119.67	-55.03	144.640 MHz	817.47 km  EA5ITW
EA5/AT-017	117.21	-57.16	144.620 MHz	844.62 km  EA5JTS
EA5/AT-020	117.05	-57.38	144.660 MHz	833.36 km  EA5JYX
EA5/MU-021	125.55	-49.74	144.780 MHz	783.65 km  EA5PY
EA6/MA-077	102.0	-70.2	145.225,144.225 MHz	1029.25 km  EA6EE EA6APL EA6LU
EA7/GR-002	141.1	-35.49	145.250,144.250 MHz	755.15 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	140.45	-36.38	145.350,144.350 MHz	682.26 km  EA7OM EA7JV
EA7/MA-013	148.51	-28.84	145.475 MHz	708.05 km  EC7ZT

## FROM EA1/SG-001 - Peñalara (2428 msnm) [10 pts] grid: IN80au
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-33.75	144.66	144.575 MHz	346.11 km  EA1FNT
EA1/BU-002	20.87	-158.66	145.475 MHz	166.54 km  EB2FDT
EA1/BU-004	29.39	-150.01	145.425 MHz	152.0 km  EB1ESK
EA1/BU-007	19.7	-159.88	145.325 MHz	157.8 km  EA1FWZ
EA1/BU-096	27.37	-151.73	144.620 MHz	240.95 km  EA2CON
EA1/CT-036	-13.51	166.0	144.560 MHz	259.28 km  EA2FHK
EA1/LR-004	27.93	-151.43	Cumbre en duda MHz	171.6 km  EA4IS
EA1/OU-001	-55.94	122.18	145.225,144.225 MHz	282.94 km  EA1FTW
EA1/PO-022	-63.81	113.04	145.350 MHz	433.89 km  EA1FMJ
EA1/SG-001	180.0	0.0	145.300 MHz	0.0 km  EA4DON EA4DOS
EA1/SG-003	32.45	-147.48	144.540 MHz	17.11 km  EA4IPO
EA1/SG-005	-139.66	40.29	145.275,144.275 MHz	9.96 km  EA9ADD
EA1/SG-010	-111.96	67.91	145.325,144 MHz	17.36 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-135.86	44.01	144.660 MHz	24.8 km  EA4HFO EA4GVU
EA1/SO-003	58.58	-120.04	145.500 MHz	204.19 km  EA2ETB
EA1/SO-026	75.98	-103.05	144.640 MHz	127.31 km  EA7RX
EA1/ZA-002	-54.11	124.19	145.250,144.250 MHz	259.98 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	22.71	-156.38	144.700 MHz	287.24 km  EA2DCA
EA2/HU-093	62.83	-114.25	144.760 MHz	405.53 km  EA4BQG
EA2/NV-003	44.89	-133.14	145.400 MHz	340.91 km  EA2EUS
EA2/NV-032	34.63	-144.04	144.680 MHz	286.08 km  EA2BD
EA2/NV-035	38.57	-139.73	144.720 MHz	330.83 km  EA2FDI
EA2/NV-148	39.56	-139.08	144.575 MHz	262.16 km  EA2CCG
EA2/VI-016	24.13	-154.95	144.580 MHz	271.97 km  EA2DXY
EA2/ZG-001	58.87	-119.73	145.450 MHz	205.49 km  EA2FED EA2FEG
EA3/BC-006	71.37	-104.83	145.350,144.350 MHz	499.94 km  EA3GRW
EA3/GI-014	70.8	-105.11	144.780 MHz	538.15 km  EA3O
EA3/LL-041	70.23	-106.14	144.775 MHz	480.51 km  EA3JHJ
EA3/LL-050	69.93	-106.94	144.700 MHz	416.12 km  EA3HIG
EA3/LL-051	70.74	-106.02	145.250 MHz	429.2 km  EA3IXK
EA3/TA-012	89.41	-87.77	144.680 MHz	362.7 km  EA3HQR EA3IQK
EA4/GU-002	50.08	-129.61	145.550,144.550 MHz	52.74 km  EA4HGT
EA4/GU-014	49.06	-130.57	145.400 MHz	62.22 km  EA4HIH
EA4/GU-050	64.8	-114.61	144.740 MHz	83.11 km  EA4AWF
EA4/GU-062	83.71	-95.2	144.720 MHz	140.6 km  EA4WT
EA4/MD-002	160.95	-19.04	145.525,144.525 MHz	5.95 km  EA4NB
EA4/MD-025	82.55	-97.13	145.225 MHz	40.43 km  EA4IIJ EA4GGU
EA4/MD-052	-162.32	17.64	144.520 MHz	17.11 km  EA4HNZ
EA4/MD-054	80.08	-99.74	144.560 MHz	23.61 km  EA4GUO
EA5/AT-010	130.17	-47.65	144.640 MHz	389.69 km  EA5ITW
EA5/AT-017	124.73	-52.78	144.620 MHz	413.08 km  EA5JTS
EA5/AT-020	124.51	-53.05	144.660 MHz	401.67 km  EA5JYX
EA5/MU-021	143.28	-35.11	144.780 MHz	372.07 km  EA5PY
EA6/MA-077	97.36	-78.05	145.225,144.225 MHz	609.03 km  EA6EE EA6APL EA6LU
EA7/GR-002	172.89	-6.74	145.250,144.250 MHz	424.28 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	177.44	-2.45	145.350,144.350 MHz	357.79 km  EA7OM EA7JV
EA7/MA-013	-173.07	6.56	145.475 MHz	434.62 km  EC7ZT

## FROM EA1/SG-003 - Nevero (2209 msnm) [10 pts] grid: IN80bx
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-36.32	142.01	144.575 MHz	339.56 km  EA1FNT
EA1/BU-002	19.62	-159.97	145.475 MHz	149.82 km  EB2FDT
EA1/BU-004	29.07	-150.4	145.425 MHz	134.92 km  EB1ESK
EA1/BU-007	18.23	-161.41	145.325 MHz	141.16 km  EA1FWZ
EA1/BU-096	27.05	-152.12	144.620 MHz	223.91 km  EA2CON
EA1/CT-036	-16.28	163.15	144.560 MHz	247.69 km  EA2FHK
EA1/LR-004	27.5	-151.93	Cumbre en duda MHz	154.55 km  EA4IS
EA1/OU-001	-59.33	118.71	145.225,144.225 MHz	282.97 km  EA1FTW
EA1/PO-022	-65.97	110.8	145.350 MHz	436.09 km  EA1FMJ
EA1/SG-001	-147.48	32.45	145.300 MHz	17.11 km  EA4DON EA4DOS
EA1/SG-003	180.0	0.0	144.540 MHz	0.0 km  EA4IPO
EA1/SG-005	-144.58	35.3	145.275,144.275 MHz	27.01 km  EA9ADD
EA1/SG-010	-129.55	50.25	145.325,144 MHz	32.82 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-140.56	39.24	144.660 MHz	41.7 km  EA4HFO EA4GVU
EA1/SO-003	60.93	-117.75	145.500 MHz	188.98 km  EA2ETB
EA1/SO-026	81.91	-97.19	144.640 MHz	115.51 km  EA7RX
EA1/ZA-002	-57.81	120.42	145.250,144.250 MHz	259.52 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	22.17	-156.99	144.700 MHz	270.39 km  EA2DCA
EA2/HU-093	64.17	-112.98	144.760 MHz	390.86 km  EA4BQG
EA2/NV-003	45.62	-132.48	145.400 MHz	324.23 km  EA2EUS
EA2/NV-032	34.84	-143.9	144.680 MHz	268.98 km  EA2BD
EA2/NV-035	38.98	-139.4	144.720 MHz	313.82 km  EA2FDI
EA2/NV-148	40.13	-138.59	144.575 MHz	245.19 km  EA2CCG
EA2/VI-016	23.65	-155.51	144.580 MHz	255.05 km  EA2DXY
EA2/ZG-001	61.24	-117.43	145.450 MHz	190.32 km  EA2FED EA2FEG
EA3/BC-006	72.7	-103.57	145.350,144.350 MHz	486.74 km  EA3GRW
EA3/GI-014	72.03	-103.95	144.780 MHz	524.84 km  EA3O
EA3/LL-041	71.59	-104.85	144.775 MHz	467.1 km  EA3JHJ
EA3/LL-050	71.48	-105.46	144.700 MHz	402.68 km  EA3HIG
EA3/LL-051	72.27	-104.56	145.250 MHz	415.91 km  EA3IXK
EA3/TA-012	91.81	-85.45	144.680 MHz	353.67 km  EA3HQR EA3IQK
EA4/GU-002	58.24	-121.51	145.550,144.550 MHz	36.8 km  EA4HGT
EA4/GU-014	55.22	-124.48	145.400 MHz	46.09 km  EA4HIH
EA4/GU-050	72.47	-107.02	144.740 MHz	69.27 km  EA4AWF
EA4/GU-062	89.65	-89.34	144.720 MHz	130.58 km  EA4WT
EA4/MD-002	-160.08	19.86	145.525,144.525 MHz	21.33 km  EA4NB
EA4/MD-025	106.65	-73.11	145.225 MHz	32.25 km  EA4IIJ EA4GGU
EA4/MD-052	-154.86	25.03	144.520 MHz	33.94 km  EA4HNZ
EA4/MD-054	126.45	-53.44	144.560 MHz	17.49 km  EA4GUO
EA5/AT-010	132.71	-45.17	144.640 MHz	392.35 km  EA5ITW
EA5/AT-017	127.16	-50.41	144.620 MHz	414.11 km  EA5JTS
EA5/AT-020	127.02	-50.61	144.660 MHz	402.65 km  EA5JYX
EA5/MU-021	145.77	-32.68	144.780 MHz	378.49 km  EA5PY
EA6/MA-077	98.9	-76.58	145.225,144.225 MHz	601.98 km  EA6EE EA6APL EA6LU
EA7/GR-002	174.38	-5.31	145.250,144.250 MHz	437.61 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	179.02	-0.93	145.350,144.350 MHz	371.94 km  EA7OM EA7JV
EA7/MA-013	-172.07	7.5	145.475 MHz	450.12 km  EC7ZT

## FROM EA1/SG-005 - Siete Picos (2137 msnm) [10 pts] grid: IN70xs
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-32.23	146.23	144.575 MHz	348.97 km  EA1FNT
EA1/BU-002	21.9	-157.58	145.475 MHz	175.96 km  EB2FDT
EA1/BU-004	30.01	-149.34	145.425 MHz	161.8 km  EB1ESK
EA1/BU-007	20.85	-158.67	145.325 MHz	167.16 km  EA1FWZ
EA1/BU-096	27.83	-151.22	144.620 MHz	250.66 km  EA2CON
EA1/CT-036	-11.82	167.73	144.560 MHz	265.28 km  EA2FHK
EA1/LR-004	28.56	-150.75	Cumbre en duda MHz	181.35 km  EA4IS
EA1/OU-001	-53.98	124.19	145.225,144.225 MHz	282.02 km  EA1FTW
EA1/PO-022	-62.58	114.32	145.350 MHz	431.57 km  EA1FMJ
EA1/SG-001	40.29	-139.66	145.300 MHz	9.96 km  EA4DON EA4DOS
EA1/SG-003	35.3	-144.58	144.540 MHz	27.01 km  EA4IPO
EA1/SG-005	180.0	0.0	145.275,144.275 MHz	0.0 km  EA9ADD
EA1/SG-010	-83.53	96.39	145.325,144 MHz	9.71 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-133.37	46.55	144.660 MHz	14.88 km  EA4HFO EA4GVU
EA1/SO-003	57.69	-120.88	145.500 MHz	213.68 km  EA2ETB
EA1/SO-026	73.48	-105.51	144.640 MHz	135.53 km  EA7RX
EA1/ZA-002	-51.97	126.39	145.250,144.250 MHz	259.4 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	23.24	-155.79	144.700 MHz	296.75 km  EA2DCA
EA2/HU-093	62.26	-114.78	144.760 MHz	414.75 km  EA4BQG
EA2/NV-003	44.71	-133.26	145.400 MHz	350.85 km  EA2EUS
EA2/NV-032	34.77	-143.85	144.680 MHz	295.99 km  EA2BD
EA2/NV-035	38.58	-139.68	144.720 MHz	340.79 km  EA2FDI
EA2/NV-148	39.54	-139.05	144.575 MHz	272.12 km  EA2CCG
EA2/VI-016	24.65	-154.39	144.580 MHz	281.55 km  EA2DXY
EA2/ZG-001	57.98	-120.57	145.450 MHz	214.96 km  EA2FED EA2FEG
EA3/BC-006	70.74	-105.41	145.350,144.350 MHz	508.5 km  EA3GRW
EA3/GI-014	70.22	-105.64	144.780 MHz	546.76 km  EA3O
EA3/LL-041	69.6	-106.72	144.775 MHz	489.17 km  EA3JHJ
EA3/LL-050	69.22	-107.6	144.700 MHz	424.81 km  EA3HIG
EA3/LL-051	70.03	-106.68	145.250 MHz	437.82 km  EA3IXK
EA3/TA-012	88.2	-88.94	144.680 MHz	369.31 km  EA3HQR EA3IQK
EA4/GU-002	48.49	-131.15	145.550,144.550 MHz	62.59 km  EA4HGT
EA4/GU-014	47.81	-131.77	145.400 MHz	72.09 km  EA4HIH
EA4/GU-050	62.19	-117.17	144.740 MHz	92.27 km  EA4AWF
EA4/GU-062	81.01	-97.85	144.720 MHz	148.0 km  EA4WT
EA4/MD-002	76.72	-103.22	145.525,144.525 MHz	8.62 km  EA4NB
EA4/MD-025	74.53	-105.1	145.225 MHz	48.27 km  EA4IIJ EA4GGU
EA4/MD-052	171.77	-8.22	144.520 MHz	8.8 km  EA4HNZ
EA4/MD-054	68.52	-111.25	144.560 MHz	31.92 km  EA4GUO
EA5/AT-010	128.66	-49.12	144.640 MHz	389.85 km  EA5ITW
EA5/AT-017	123.31	-54.15	144.620 MHz	414.17 km  EA5JTS
EA5/AT-020	123.06	-54.46	144.660 MHz	402.8 km  EA5JYX
EA5/MU-021	141.73	-36.61	144.780 MHz	369.97 km  EA5PY
EA6/MA-077	96.53	-78.83	145.225,144.225 MHz	614.51 km  EA6EE EA6APL EA6LU
EA7/GR-002	171.83	-7.75	145.250,144.250 MHz	417.61 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	176.28	-3.56	145.350,144.350 MHz	350.56 km  EA7OM EA7JV
EA7/MA-013	-173.86	5.82	145.475 MHz	426.34 km  EC7ZT

## FROM EA1/SG-010 - Majada Pielera (2002 msnm) [10 pts] grid: IN70ws
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-31.04	147.5	144.575 MHz	342.98 km  EA1FNT
EA1/BU-002	24.82	-154.57	145.475 MHz	178.79 km  EB2FDT
EA1/BU-004	33.01	-146.27	145.425 MHz	165.91 km  EB1ESK
EA1/BU-007	23.95	-155.5	145.325 MHz	169.83 km  EA1FWZ
EA1/BU-096	29.79	-149.18	144.620 MHz	254.36 km  EA2CON
EA1/CT-036	-9.88	169.75	144.560 MHz	262.39 km  EA2FHK
EA1/LR-004	31.26	-147.96	Cumbre en duda MHz	185.22 km  EA4IS
EA1/OU-001	-53.05	125.2	145.225,144.225 MHz	273.62 km  EA1FTW
EA1/PO-022	-62.18	114.79	145.350 MHz	422.51 km  EA1FMJ
EA1/SG-001	67.91	-111.96	145.300 MHz	17.36 km  EA4DON EA4DOS
EA1/SG-003	50.25	-129.55	144.540 MHz	32.82 km  EA4IPO
EA1/SG-005	96.39	-83.53	145.275,144.275 MHz	9.71 km  EA9ADD
EA1/SG-010	180.0	0.0	145.325,144 MHz	0.0 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	-174.19	5.8	144.660 MHz	11.37 km  EA4HFO EA4GVU
EA1/SO-003	59.19	-119.3	145.500 MHz	221.33 km  EA2ETB
EA1/SO-026	74.91	-104.0	144.640 MHz	144.52 km  EA7RX
EA1/ZA-002	-50.89	127.55	145.250,144.250 MHz	251.18 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	24.94	-154.01	144.700 MHz	299.69 km  EA2DCA
EA2/HU-093	62.92	-114.04	144.760 MHz	422.82 km  EA4BQG
EA2/NV-003	45.86	-132.04	145.400 MHz	356.94 km  EA2EUS
EA2/NV-032	36.32	-142.22	144.680 MHz	300.72 km  EA2BD
EA2/NV-035	39.86	-138.31	144.720 MHz	346.05 km  EA2FDI
EA2/NV-148	41.14	-137.37	144.575 MHz	277.54 km  EA2CCG
EA2/VI-016	26.43	-152.53	144.580 MHz	284.73 km  EA2DXY
EA2/ZG-001	59.46	-119.02	145.450 MHz	222.65 km  EA2FED EA2FEG
EA3/BC-006	71.13	-104.94	145.350,144.350 MHz	517.26 km  EA3GRW
EA3/GI-014	70.59	-105.19	144.780 MHz	555.49 km  EA3O
EA3/LL-041	70.03	-106.21	144.775 MHz	497.85 km  EA3JHJ
EA3/LL-050	69.73	-107.02	144.700 MHz	433.47 km  EA3HIG
EA3/LL-051	70.51	-106.13	145.250 MHz	446.54 km  EA3IXK
EA3/TA-012	88.33	-88.73	144.680 MHz	378.92 km  EA3HQR EA3IQK
EA4/GU-002	54.37	-125.19	145.550,144.550 MHz	69.46 km  EA4HGT
EA4/GU-014	53.04	-126.47	145.400 MHz	78.84 km  EA4HIH
EA4/GU-050	65.23	-114.05	144.740 MHz	100.45 km  EA4AWF
EA4/GU-062	81.88	-96.91	144.720 MHz	157.38 km  EA4WT
EA4/MD-002	87.11	-92.75	145.525,144.525 MHz	18.06 km  EA4NB
EA4/MD-025	78.08	-101.48	145.225 MHz	57.39 km  EA4IIJ EA4GGU
EA4/MD-052	131.87	-48.05	144.520 MHz	14.66 km  EA4HNZ
EA4/MD-054	74.86	-104.84	144.560 MHz	40.75 km  EA4GUO
EA5/AT-010	127.84	-49.86	144.640 MHz	398.1 km  EA5ITW
EA5/AT-017	122.64	-54.74	144.620 MHz	422.86 km  EA5JTS
EA5/AT-020	122.38	-55.07	144.660 MHz	411.51 km  EA5JYX
EA5/MU-021	140.61	-37.66	144.780 MHz	376.87 km  EA5PY
EA6/MA-077	96.46	-78.83	145.225,144.225 MHz	624.22 km  EA6EE EA6APL EA6LU
EA7/GR-002	170.48	-9.03	145.250,144.250 MHz	420.17 km  EA7KUG EA7KNC EA7GV
EA7/JA-010	174.65	-5.11	145.350,144.350 MHz	352.41 km  EA7OM EA7JV
EA7/MA-013	-175.24	4.51	145.475 MHz	426.51 km  EC7ZT

## FROM EA1/SG-017 - Cabeza Líjar (1822 msnm) [8 pts] grid: IN70wq
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	-29.94	148.61	144.575 MHz	352.14 km  EA1FNT
EA1/BU-002	23.69	-155.69	145.475 MHz	189.58 km  EB2FDT
EA1/BU-004	31.31	-147.96	145.425 MHz	176.1 km  EB1ESK
EA1/BU-007	22.82	-156.62	145.325 MHz	180.67 km  EA1FWZ
EA1/BU-096	28.78	-150.18	144.620 MHz	264.79 km  EA2CON
EA1/CT-036	-9.25	170.39	144.560 MHz	273.35 km  EA2FHK
EA1/LR-004	29.82	-149.4	Cumbre en duda MHz	195.54 km  EA4IS
EA1/OU-001	-51.06	127.19	145.225,144.225 MHz	279.67 km  EA1FTW
EA1/PO-022	-60.78	116.21	145.350 MHz	426.9 km  EA1FMJ
EA1/SG-001	44.01	-135.86	145.300 MHz	24.8 km  EA4DON EA4DOS
EA1/SG-003	39.24	-140.56	144.540 MHz	41.7 km  EA4IPO
EA1/SG-005	46.55	-133.37	145.275,144.275 MHz	14.88 km  EA9ADD
